FIRE_NAME,DISCOVERY_DOY,DISCOVERY_DATE,FIRE_YEAR,STAT_CAUSE_DESCR,FIRE_SIZE,LATITUDE,LONGITUDE,STATE,CONT_DOY,CONT_DATE
KINGSLEY,206,2453941.5,2006,Lightning,6854,40.03777778,-122.9413889,CA,221,2453956.5
PIGEON,245,2453980.5,2006,Miscellaneous,35101,40.75111111,-123.1508333,CA,283,2454018.5
TRIPOD COMPLEX,205,2453940.5,2006,Lightning,113011,48.50333333,-120.0444444,WA,313,2454048.5
SPUR PEAK,184,2453919.5,2006,Lightning,62173,48.65805556,-120.0288889,WA,313,2454048.5
TATOOSH,234,2453969.5,2006,Lightning,51671,48.89611111,-120.5611111,WA,313,2454048.5
CLEAR CREEK,247,2453982.5,2006,Lightning,11615,45.07333333,-117.1527778,OR,274,2454009.5
BOWEN,227,2453962.5,2006,Lightning,19482,42.13861111,-112.6972222,ID,231,2453966.5
COUGAR,219,2453954.5,2006,Lightning,28431,44.8375,-115.7533333,ID,296,2454031.5
MEADOW,246,2453981.5,2006,Lightning,7200,45.73722222,-115.1894444,ID,264,2453999.5
GREEN ACRES,231,2453966.5,2006,Lightning,6700,45.34861111,-116.4952778,ID,293,2454028.5
CLARKS CANYON,235,2453970.5,2006,Equipment Use,15387,45.01111111,-112.7930556,MT,240,2453975.5
BLACK BUTTE,234,2453969.5,2006,Lightning,33000,45.47027778,-115.8861111,ID,300,2454035.5
0668 - LAKE GEORGE,219,2453954.5,2006,Lightning,5550,44.3075,-121.8138889,OR,289,2454024.5
0570  BLACK CRATER,205,2453940.5,2006,Lightning,9400,44.26083333,-121.7361111,OR,274,2454009.5
CAVITY LAKE,195,2453930.5,2006,Lightning,31830,48.09305556,-90.99527778,MN,275,2454010.5
SKATE,153,2453888.5,2006,Lightning,12582,32.95611111,-108.1302778,NM,179,2453914.5
HUGHES LAKE FIRE,120,2453855.5,2006,Debris Burning,5818,44.51,-84.19,MI,127,2453862.5
DOG VALLEY,197,2453932.5,2006,Lightning,28661.3,38.67555556,-112.5252778,UT,215,2453950.5
DEVILS DEN,227,2453962.5,2006,Lightning,14153.7,39.35388889,-112.2683333,UT,241,2453976.5
GASH,205,2453940.5,2006,Arson,8800,46.395,-114.2538889,MT,304,2454039.5
ESPERANZA,299,2454034.5,2006,Arson,40200,33.89972222,-116.7661111,CA,303,2454038.5
TINPAN,188,2453923.5,2006,Lightning,9252,48.16416667,-120.7258333,WA,329,2454064.5
THORN CREEK,234,2453969.5,2006,Lightning,13536,44.31166667,-119.4347222,OR,277,2454012.5
MILLARD,190,2453925.5,2006,Lightning,24000,34.34166667,-116.7666667,CA,252,2453987.5
PURDY,217,2453952.5,2006,Lightning,16906,43.57305556,-110.1405556,WY,289,2454024.5
BRANTLEY CABIN,81,2454181.5,2007,Debris Burning,9071,34.26805556,-94.58416667,OK,83,2454183.5
LITTLE VENUS,174,2453909.5,2006,Lightning,34581,44.01194444,-109.4583333,WY,258,2453993.5
HAM LAKE,125,2454225.5,2007,Campfire,75484,48.06888889,-90.81138889,MN,155,2454255.5
HL,173,2454273.5,2007,Lightning,10131,33.56361111,-108.4591667,NM,211,2454311.5
BIRDIE,187,2454287.5,2007,Lightning,5016,34.88805556,-111.5386111,AZ,198,2454298.5
RATTLESNAKE,194,2454294.5,2007,Lightning,102000,45.42916667,-115.6366667,ID,323,2454423.5
SAGE,187,2454287.5,2007,Lightning,6460,37.13,-118.385,CA,192,2454292.5
TRAPPER RIDGE,198,2454298.5,2007,Lightning,20159,44.02277778,-115.3527778,ID,289,2454389.5
BEAR CANYON FIRE,188,2454288.5,2007,Lightning,52891,43.86666667,-119.4647222,OR,236,2454336.5
MOONLIGHT,246,2454346.5,2007,Equipment Use,64994.45,40.21333333,-120.8641667,CA,268,2454368.5
RED HILL,194,2454294.5,2007,Lightning,53448,45.01527778,-119.4497222,OR,219,2454319.5
LOST,224,2454324.5,2007,Lightning,10733,45.25194444,-106.2391667,MT,233,2454333.5
WHEELER,186,2454286.5,2007,Lightning,22905.81,40.12861111,-120.6361111,CA,202,2454302.5
SLIDE,186,2454286.5,2007,Lightning,6000,36.65416667,-112.4386111,AZ,204,2454304.5
SHEEP TRAIL,199,2454299.5,2007,Lightning,8759,44.34944444,-115.4936111,ID,274,2454374.5
RED BLUFF,198,2454298.5,2007,Lightning,62591,44.74138889,-114.8713889,ID,322,2454422.5
GRAY'S CREEK,242,2454342.5,2007,Lightning,24900,44.55861111,-116.3627778,ID,264,2454364.5
FOOL CREEK,185,2454285.5,2007,Lightning,60038,47.92333333,-112.9880556,MT,333,2454433.5
AHORN,192,2454292.5,2007,Lightning,52505,47.53,-113.0466667,MT,333,2454433.5
RAILLEY,202,2454302.5,2007,Lightning,21585,47.29944444,-113.2808333,MT,286,2454386.5
CORPORAL,224,2454324.5,2007,Lightning,16105,47.89166667,-113.4222222,MT,286,2454386.5
GOAT WFU,195,2454295.5,2007,Lightning,25907,45.04305556,-115.285,ID,268,2454368.5
COTTONWOOD WFU,202,2454302.5,2007,Lightning,14637,44.91916667,-115.0497222,ID,268,2454368.5
TAG WFU,168,2454268.5,2007,Lightning,47187,45.405,-114.875,ID,268,2454368.5
POE CABIN,199,2454299.5,2007,Lightning,58520,45.69416667,-116.4777778,ID,285,2454385.5
BATTLE CREEK,194,2454294.5,2007,Lightning,79149,45.30916667,-116.6861111,OR,244,2454344.5
GRIZZLY RIDGE,195,2454295.5,2007,Lightning,6474,45.61833333,-116.8011111,OR,210,2454310.5
FLETCHER,196,2454296.5,2007,Lightning,8121,41.98833333,-120.5447222,CA,216,2454316.5
LIGHTNING,198,2454298.5,2007,Lightning,6994,44.17611111,-115.8397222,ID,304,2454404.5
WICKED CREEK,221,2454321.5,2007,Lightning,26600,45.23972222,-110.5255556,MT,282,2454382.5
NORTH FORK,202,2454302.5,2007,Lightning,48143,44.69305556,-115.84,ID,263,2454363.5
ROMBO,212,2454312.5,2007,Lightning,29062,45.74833333,-114.235,MT,259,2454359.5
COLUMBINE,221,2454321.5,2007,Lightning,18595,44.4075,-110.2077778,WY,246,2454346.5
MONUMENTAL,198,2454298.5,2007,Lightning,174231,44.495,-115.6972222,ID,268,2454368.5
SANDY,198,2454298.5,2007,Lightning,18306,44.65166667,-115.4719444,ID,227,2454327.5
RIORDON,198,2454298.5,2007,Lightning,54079,44.82611111,-115.4508333,ID,234,2454334.5
YELLOW,212,2454312.5,2007,Lightning,7603,44.6,-115.7333333,ID,221,2454321.5
DRAKE,199,2454299.5,2007,Lightning,8401,45.9875,-115.1283333,ID,290,2454390.5
LIZARD,204,2454304.5,2007,Lightning,6547,46.23111111,-115.1158333,ID,290,2454390.5
ZACA,185,2454285.5,2007,Equipment Use,240207,34.77916667,-120.09,CA,245,2454345.5
DOG,205,2454305.5,2007,Lightning,20327,46.105,-114.835,ID,290,2454390.5
RAINES,188,2454288.5,2007,Lightning,80628.66,45.31444444,-115.5413889,ID,282,2454382.5
ZENA CREEK,188,2454288.5,2007,Lightning,95193,45.06972222,-115.7294444,ID,283,2454383.5
HARRINGTON RIDGE,195,2454295.5,2007,Lightning,6233,45.51722222,-114.8841667,ID,299,2454399.5
SHORTOFF,159,2454259.5,2007,Lightning,5015,35.84,-81.89055556,NC,206,2454306.5
CLEAR SAGE,195,2454295.5,2007,Lightning,19941,45.22027778,-114.4380556,ID,305,2454405.5
PAPOOSE,214,2454314.5,2007,Lightning,19520,45.27,-114.805,ID,305,2454405.5
BONE CREEK,225,2454325.5,2007,Lightning,13450,44.60055556,-107.6708333,WY,274,2454374.5
WARM SPRINGS,187,2454287.5,2007,Lightning,23760,44.38333333,-117.0705556,ID,229,2454329.5
DOMKE,217,2454317.5,2007,Lightning,11791,48.16722222,-120.5994444,WA,7,2454472.5
SHOWERBATH,213,2454313.5,2007,Lightning,60009,44.62083333,-114.6222222,ID,331,2454431.5
MERIWETHER,202,2454302.5,2007,Lightning,46298,46.86972222,-111.8822222,MT,279,2454379.5
BOUNDARY JUNCTION,222,2454322.5,2007,Lightning,5100,46.37305556,-115.5816667,ID,324,2454424.5
BLACK PINE 2,187,2454287.5,2007,Lightning,72361,42.20194444,-113.2175,ID,249,2454349.5
EASY STREET,188,2454288.5,2007,Miscellaneous,5209,47.4875,-120.3808333,WA,192,2454292.5
LOON LAKE,195,2454295.5,2007,Lightning,120077,45.13777778,-115.8558333,ID,331,2454431.5
CHITTY,181,2454281.5,2007,Lightning,15000,33.57027778,-109.3808333,AZ,193,2454293.5
SKYLAND,204,2454304.5,2007,Lightning,44176,48.27138889,-113.3952778,MT,332,2454432.5
SILVER FIRE,188,2454288.5,2007,Lightning,31624.7,43.855,-119.6816667,OR,238,2454338.5
GW,243,2454343.5,2007,Lightning,7357,44.34305556,-121.8063889,OR,273,2454373.5
BRIDGE,206,2454306.5,2007,Lightning,42694,46.3675,-114.5711111,ID,320,2454420.5
PATTENGAIL,194,2454294.5,2007,Lightning,15297,45.69111111,-113.2563889,MT,275,2454375.5
EGLEY,187,2454287.5,2007,Lightning,55420,43.6675,-119.4302778,OR,203,2454303.5
RAT CREEK,221,2454321.5,2007,Lightning,25877,45.74444444,-113.8094444,MT,275,2454375.5
CONGER CREEK,197,2454297.5,2007,Lightning,25150,47.21638889,-113.0369444,MT,274,2454374.5
SANTIAGO,294,2454394.5,2007,Miscellaneous,28476,33.74583333,-117.6666667,CA,312,2454412.5
FLORIDA BUGABOO,128,2454228.5,2007,Lightning,123014,30.5,-82.36666667,FL,171,2454271.5
SAWMILL,197,2454297.5,2007,Lightning,14233,46.60194444,-113.7002778,MT,305,2454405.5
FISHER POINT,209,2454309.5,2007,Lightning,18222,46.49583333,-113.6655556,MT,305,2454405.5
WYMAN #2,210,2454310.5,2007,Lightning,36045,46.3475,-113.7425,MT,305,2454405.5
CHIMNEY COMPLEX,194,2454294.5,2007,Lightning,51000,45.9875,-116.8977778,ID,233,2454333.5
CASTLE ROCK,228,2454328.5,2007,Lightning,48000,43.6375,-114.5611111,ID,273,2454373.5
WILKINS,255,2454355.5,2007,Lightning,7762,34.58916667,-111.0227778,AZ,320,2454420.5
BUTLER 2,257,2454357.5,2007,Miscellaneous,14039,34.25805556,-117.0102778,CA,,
SLIDE,295,2454395.5,2007,Miscellaneous,12759,34.25194444,-117.05,CA,318,2454418.5
RANCH,293,2454393.5,2007,Equipment Use,45300,34.57305556,-118.6983333,CA,319,2454419.5
WOODLAND,173,2454273.5,2007,Lightning,8000,33.29583333,-108.3455556,NM,253,2454353.5
WITCH,294,2454394.5,2007,Miscellaneous,197990,33.07444444,-116.7111111,CA,304,2454404.5
RICE,295,2454395.5,2007,Miscellaneous,9472,33.39694444,-117.1480556,CA,302,2454402.5
BUCKWEED,294,2454394.5,2007,Children,38356,34.52444444,-118.3347222,CA,294,2454394.5
POOMACHA,296,2454396.5,2007,Miscellaneous,49390,33.2775,-116.8680556,CA,335,2454435.5
HORSE CREEK,172,2454272.5,2007,Miscellaneous,8590,42.93111111,-110.48,WY,183,2454283.5
JUNGLE RX BURN,179,2454279.5,2007,Miscellaneous,5315,39.135,-111.3972222,UT,207,2454307.5
BRUSH CREEK,208,2454308.5,2007,Lightning,29921,48.33472222,-114.9013889,MT,258,2454358.5
ALAMO,109,2454574.5,2008,Campfire,5070,31.36527778,-111.1238889,AZ,119,2454584.5
INDIANS,160,2454625.5,2008,Campfire,81378,36.10527778,-121.4308333,CA,192,2454657.5
JACK WOOD,175,2454640.5,2008,Lightning,8609,31.76472222,-109.1652778,AZ,176,2454641.5
CARIBOU,174,2454639.5,2008,Lightning,13116,41.03472222,-123.0027778,CA,351,2454816.5
BASIN COMPLEX,173,2454638.5,2008,Lightning,162818,36.28111111,-121.6583333,CA,209,2454674.5
COLD,173,2454638.5,2008,Lightning,5512,39.84222222,-120.8366667,CA,244,2454709.5
TRIGO,106,2454571.5,2008,Campfire,13709,34.66,-106.4666667,NM,184,2454649.5
BIG SPRING,176,2454641.5,2008,Lightning,5478,34.77055556,-106.3830556,NM,183,2454648.5
PANTHER,205,2454670.5,2008,Lightning,44452,41.5925,-123.4316667,CA,288,2454753.5
DARK,172,2454637.5,2008,Lightning,10388,41.61555556,-123.5769444,CA,205,2454670.5
GAP,183,2454648.5,2008,Miscellaneous,9443,34.50083333,-119.8605556,CA,199,2454664.5
EAGLE,173,2454638.5,2008,Lightning,32059,40.73416667,-123.1666667,CA,278,2454743.5
ROCKY,170,2454635.5,2008,Lightning,49092,32.44777778,-104.9291667,NM,177,2454642.5
IRONSIDE,173,2454638.5,2008,Lightning,12720,40.83333333,-123.4341667,CA,213,2454678.5
WOOD HUMP,200,2454665.5,2008,Lightning,5311,45.54055556,-114.5094444,ID,308,2454773.5
CASCADE,208,2454673.5,2008,Miscellaneous,10173,45.16944444,-109.4875,MT,208,2454673.5
RICH,211,2454676.5,2008,Railroad,6112,40.02,-121.1675,CA,246,2454711.5
BRIDGER,161,2454626.5,2008,Lightning,45814,37.52694444,-103.7694444,CO,180,2454645.5
DISTILLERY,173,2454638.5,2008,Lightning,7950,32.06166667,-110.5291667,AZ,183,2454648.5
MINERS,173,2454638.5,2008,Lightning,24776,40.66972222,-123.3055556,CA,305,2454770.5
LIME,172,2454637.5,2008,Lightning,25199,40.51833333,-123.4227778,CA,226,2454691.5
TELEPHONE,172,2454637.5,2008,Lightning,6625,40.40666667,-123.1319444,CA,226,2454691.5
NOBLE,173,2454638.5,2008,Lightning,12856,40.32583333,-122.9622222,CA,190,2454655.5
DEERLICK,174,2454639.5,2008,Lightning,10213,40.46333333,-122.8827778,CA,226,2454691.5
IRON,173,2454638.5,2008,Lightning,32903,40.14583333,-122.8661111,CA,236,2454701.5
VINEGAR,174,2454639.5,2008,Lightning,17449,40.06722222,-122.9308333,CA,177,2454642.5
WHISKEY,164,2454629.5,2008,Miscellaneous,7783,39.89388889,-122.7075,CA,301,2454766.5
CUB,173,2454638.5,2008,Lightning,14936,40.17916667,-121.4702778,CA,213,2454678.5
HOT AIR,174,2454639.5,2008,Lightning,8300,33.475,-109.3875,AZ,182,2454647.5
LANE 2,180,2454645.5,2008,Campfire,9629,34.17361111,-112.3397222,AZ,202,2454667.5
GUNBARREL,208,2454673.5,2008,Lightning,68148,44.495,-109.8225,WY,271,2454736.5
E. SLIDE ROCK RIDGE,223,2454688.5,2008,Lightning,54545,41.78,-115.3266667,NV,351,2454816.5
STEVENS CREEK,197,2454297.5,2007,Lightning,7631.9,40.97166667,-115.2636111,NV,227,2454327.5
GOVERNMENT,173,2454638.5,2008,Lightning,9164,39.21555556,-120.6486111,CA,214,2454679.5
RATTLE,231,2454696.5,2008,Lightning,19775,43.32944444,-122.5438889,OR,297,2454762.5
CHALK,271,2454736.5,2008,Miscellaneous,11200,36.0025,-121.4397222,CA,,
CABIN CREEK,212,2454677.5,2008,Debris Burning,5500,45.14361111,-114.9277778,ID,221,2454686.5
CLOVER,152,2454617.5,2008,Lightning,15300,36.11666667,-118.1336111,CA,159,2454624.5
PIUTE,180,2454645.5,2008,Miscellaneous,37026,35.41916667,-118.4002778,CA,212,2454677.5
MILL,172,2454637.5,2008,Lightning,65834,41.56333333,-123.5947222,CA,277,2454742.5
BLUE 2,173,2454638.5,2008,Lightning,17540,41.56527778,-123.8205556,CA,277,2454742.5
HALF,173,2454638.5,2008,Lightning,15118,40.77111111,-123.5277778,CA,238,2454703.5
JAKE,173,2454638.5,2008,Lightning,38394,41.35638889,-123.3761111,CA,277,2454742.5
HAYPRESS,173,2454638.5,2008,Lightning,13654,41.45333333,-123.3930556,CA,277,2454742.5
MERRILL,175,2454640.5,2008,Lightning,8332,41.42527778,-123.4311111,CA,277,2454742.5
MIDDLE FORK,231,2454696.5,2008,Lightning,21125,42.71916667,-122.2561111,OR,284,2454749.5
WESTVILLE,174,2454639.5,2008,Lightning,10836,39.16333333,-120.66,CA,214,2454679.5
WILLOW WFU,196,2454661.5,2008,Lightning,5664,44.52361111,-111.5644444,ID,,
BUCKHORN,173,2454638.5,2008,Lightning,31419,40.86666667,-123.2852778,CA,213,2454678.5
CEDAR,173,2454638.5,2008,Lightning,25398,40.78138889,-123.4336111,CA,213,2454678.5
MOTION,175,2454640.5,2008,Lightning,28336,40.71666667,-122.4344444,CA,210,2454675.5
PIT,174,2454639.5,2008,Lightning,11496,39.97,-121.2963889,CA,280,2454745.5
TEHIPITE,207,2454672.5,2008,Lightning,7456,36.90361111,-118.8011111,CA,347,2454812.5
SOUTH BARKER,220,2454685.5,2008,Lightning,37725,43.62527778,-115.2288889,ID,,
WHITE TANK,175,2454640.5,2008,Lightning,8135,31.57,-111.1436111,AZ,193,2454658.5
GUM BAY,42,2454507.5,2008,Miscellaneous,10458,30.09916667,-84.69111111,FL,46,2454511.5
SCOTCH,173,2454638.5,2008,Lightning,13009,39.78611111,-121.1872222,CA,244,2454709.5
NEW FORK,211,2454676.5,2008,Campfire,15089,43.10833333,-109.9127778,WY,322,2454787.5
YELLOW,174,2454639.5,2008,Lightning,32250,40.07555556,-123.0963889,CA,325,2454790.5
TELEGRAPH,207,2454672.5,2008,Miscellaneous,34091,37.5675,-119.9969444,CA,259,2454724.5
ELKHORN 2,166,2454631.5,2008,Miscellaneous,6182,38.58777778,-116.6775,NV,220,2454685.5
GROUSE,174,2454639.5,2008,Lightning,6246,40.11972222,-122.9836111,CA,187,2454652.5
SAYRE,319,2454784.5,2008,Miscellaneous,11222,34.33,-118.4111111,CA,326,2454791.5
MARTEEN WFU,220,2454685.5,2008,Lightning,10788.73,35.44333333,-112.0227778,AZ,338,2454803.5
FREEWAY,320,2454785.5,2008,Miscellaneous,30305,33.87277778,-117.7388889,CA,323,2454788.5
CORRAL,175,2454640.5,2008,Lightning,12500,40.875,-120.875,CA,189,2454654.5
JESUSITA,125,2454956.5,2009,Equipment Use,8733,34.47416667,-119.7280556,CA,140,2454971.5
JUNIPER SPRINGS #10,69,2454900.5,2009,Campfire,10022,29.19194444,-81.69722222,FL,91,2454922.5
HOG,60,2454891.5,2009,Campfire,16802,31.50222222,-109.0836111,AZ,68,2454899.5
SKELETON,150,2454981.5,2009,Lightning,8591,31.56444444,-109.0058333,NM,160,2454991.5
WILLOW,150,2454981.5,2009,Lightning,9000,33.75944444,-108.5288889,NM,150,2454981.5
MILL FLAT,206,2455037.5,2009,Lightning,12607,37.43833333,-113.3927778,UT,272,2455103.5
KELSAY BUTTE,214,2455045.5,2009,Lightning,6900,44.92472222,-118.6513889,OR,289,2455120.5
BIG POLE,218,2455049.5,2009,Lightning,44345,40.61361111,-112.6663889,UT,287,2455118.5
KOOTENAI CREEK,193,2455024.5,2009,Lightning,6990,46.5525,-114.2352778,MT,304,2455135.5
LOAF,213,2455044.5,2009,Lightning,9356,40.68333333,-121.4666667,CA,224,2455055.5
CHALK,214,2455045.5,2009,Lightning,6923,40.98055556,-121.8138889,CA,244,2455075.5
LA BREA,220,2455051.5,2009,Miscellaneous,91622,34.94972222,-119.9777778,CA,234,2455065.5
KNIGHT,207,2455038.5,2009,Miscellaneous,6130,38.175,-120.2491667,CA,233,2455064.5
TUMBLEBUG,255,2455086.5,2009,Lightning,14560,43.47416667,-122.1019444,OR,274,2455105.5
NARRAGUINNEP,219,2455050.5,2009,Lightning,7300,37.64638889,-108.7183333,CO,271,2455102.5
SHEEP,276,2455107.5,2009,Miscellaneous,7128,34.22972222,-117.4783333,CA,297,2455128.5
DURFEE,208,2455039.5,2009,Lightning,6399,34.5275,-110.7711111,AZ,266,2455097.5
TABLE MOUNTAIN,256,2455087.5,2009,Lightning,5280,46.06361111,-113.7166667,MT,323,2455154.5
CROSS,182,2455013.5,2009,Lightning,7718,35.0225,-112.0775,AZ,244,2455075.5
WILDHORSE,202,2455033.5,2009,Lightning,13790,35.46722222,-111.9163889,AZ,264,2455095.5
BOZE,256,2455087.5,2009,Lightning,10721,43.1525,-122.5347222,OR,306,2455137.5
RAINBOW CREEK,265,2455096.5,2009,Lightning,5740,43.1425,-122.4594444,OR,306,2455137.5
STATION,238,2455069.5,2009,Arson,160371,34.2425,-118.1888889,CA,265,2455096.5
LT-17 (BACKBONE),183,2455014.5,2009,Lightning,5065,41.04,-123.4633333,CA,246,2455077.5
MEASON,152,2454983.5,2009,Lightning,7055,33.14194444,-108.0219444,NM,265,2455096.5
